q,param,param_name,rho_eff,theory_pfail,error_rate
37,16,eta,0.8648648648648649,0.24757891350338868,0.24
37,17,eta,0.8914822974308455,0.26197841985668346,0.225
37,18,eta,0.9173277161338994,0.2756589861228448,0.335
37,19,eta,0.9424646364412268,0.28866819269348065,0.26
37,20,eta,0.9669483145945037,0.3010513493185173,0.255
41,1,eta,0.1951219512195122,2.9753774637553145e-07,0.0
41,2,eta,0.27594410973133565,0.0002901688616734061,0.0
41,3,eta,0.33796113318417115,0.003087191041993362,0.005
41,4,eta,0.3902439024390244,0.010392158764182317,0.0
41,5,eta,0.4363059468292273,0.021907393010331268,0.015
41,6,eta,0.47794921810403473,0.03641414726674857,0.04
41,7,eta,0.5162441582565055,0.05273704091911834,0.04
41,8,eta,0.5518882194626713,0.06999220321388053,0.06
41,9,eta,0.5853658536585366,0.08757450961479948,0.1
41,10,eta,0.6170297873499277,0.10508901004329912,0.105
41,11,eta,0.6471463005571512,0.1222868584294665,0.105
41,12,eta,0.6759222663683423,0.13901739708305863,0.145
41,13,eta,0.7035222000905345,0.15519491265939211,0.175
41,14,eta,0.7300794901022325,0.17077623894135807,0.23
41,15,eta,0.7557040675526667,0.1857458339360586,0.19
41,16,eta,0.7804878048780488,0.20010586895485172,0.16
41,17,eta,0.8045084147546655,0.21386964711192535,0.19
41,18,eta,0.8278323291940067,0.22705723087066965,0.19
41,19,eta,0.8505168670323267,0.23969253906882237,0.255
41,20,eta,0.8726118936584546,0.25180142547387907,0.2
43,1,eta,0.18604651162790697,7.658268212248856e-08,0.0
43,2,eta,0.26310949997638977,0.00014428851742548005,0.0
43,3,eta,0.3222420107104888,0.0019140289654979322,0.0
43,4,eta,0.37209302325581395,0.007198910228819933,0.005
43,5,eta,0.4160126469767051,0.016226842567847496,0.025
43,6,eta,0.4557190219131494,0.02821136655974199,0.04
43,7,eta,0.4922328020585285,0.042198316620319525,0.055
43,8,eta,0.5262189999527795,0.05738727275572157,0.06
43,9,eta,0.5581395348837209,0.07318637709497819,0.055
43,10,eta,0.5883307274731869,0.0891828071831407,0.125
43,11,eta,0.6170464726242604,0.10509841407384796,0.09
43,12,eta,0.6444840214209776,0.12075105633514849,0.115
43,13,eta,0.6708002372956259,0.13602536343632246,0.1
43,14,eta,0.6961223045160821,0.15085182059728988,0.14
43,15,eta,0.7205550411548682,0.1651921578197958,0.165
43,16,eta,0.7441860465116279,0.17902924288386324,0.16
43,17,eta,0.7670894187195647,0.1923601132272892,0.235
43,18,eta,0.7893284999291693,0.20519117403509002,0.175
43,19,eta,0.8109579429843115,0.21753488763843198,0.23
43,20,eta,0.8320252939534102,0.22940749088036183,0.275
47,1,eta,0.1702127659574468,4.228433484881663e-09,0.0
47,2,eta,0.24071720210605874,3.263528714756127e-05,0.0
47,3,eta,0.29481715873512804,0.0006940145128506938,0.0
47,4,eta,0.3404255319148936,0.0033087017190950086,0.0
47,5,eta,0.3806073153191132,0.008604521679227255,0.01
47,6,eta,0.4169344243035196,0.016464232748736724,0.025
47,7,eta,0.4503406486918452,0.02638204684338024,0.015
47,8,eta,0.4814344042121175,0.037789915800508826,0.045
47,9,eta,0.5106382978723404,0.050190911879029985,0.05
47,10,eta,0.538260027262703,0.06319200522677029,0.08
47,11,eta,0.5645318792094297,0.07649767349386227,0.06
47,12,eta,0.5896343174702561,0.08989224043233036,0.08
47,13,eta,0.6137108553981258,0.10322163589252281,0.12
47,14,eta,0.6368778530679049,0.11637794013608814,0.125
47,15,eta,0.6592312078650923,0.12928726790540426,0.155
47,16,eta,0.6808510638297872,0.1419006102779805,0.125
47,17,eta,0.7018052128710912,0.15418703564298375,0.18
47,18,eta,0.7221516063181761,0.166128685960936,0.175
47,19,eta,0.7419402457090509,0.17771710832651688,0.17
47,20,eta,0.7612146306382264,0.18895056883146955,0.15
53,1,eta,0.1509433962264151,3.4724817907041003e-11,0.0
53,2,eta,0.2134661980940521,2.8053126041729294e-06,0.0
53,3,eta,0.2614416313311513,0.00013080100099724853,0.0
53,4,eta,0.3018867924528302,0.0009246612603772077,0.0
53,5,eta,0.3375196947169494,0.003048644111716179,0.0
53,6,eta,0.36973430079746084,0.006837743568509197,0.015
53,7,eta,0.3993586884625797,0.012279295530071416,0.015
53,8,eta,0.4269323961881042,0.019165754033449046,0.02
53,9,eta,0.4528301886792453,0.027221045322651273,0.035
53,10,eta,0.4773249298367365,0.03617019689340979,0.03
53,11,eta,0.500622609864966,0.045769520813725664,0.03
53,12,eta,0.5228832626623026,0.055815582428976496,0.035
53,13,eta,0.5442341547870172,0.06614431733879887,0.075
53,14,eta,0.5647784734753118,0.07662628883014384,0.085
53,15,eta,0.5846012598048931,0.08716095613095298,0.095
53,16,eta,0.6037735849056604,0.09767120146312243,0.095
53,17,eta,0.6223555661309677,0.10809857393762194,0.115
53,18,eta,0.6403985942821562,0.11839934639567665,0.085
53,19,eta,0.6579470103457621,0.12854132972770002,0.095
53,20,eta,0.6750393894338989,0.13850133698801334,0.18
59,1,eta,0.13559322033898305,1.6434505215168617e-13,0.0
59,2,eta,0.19175777116923323,1.839040124749403e-07,0.0
59,3,eta,0.2348543467890003,2.0630247802504916e-05,0.0
59,4,eta,0.2711864406779661,0.00022646809364501404,0.0
59,5,eta,0.3031956579660732,0.0009730670591336942,0.005
59,6,eta,0.33213420241127833,0.002605336926011766,0.0
59,7,eta,0.35874594048333436,0.005311842342866082,0.0
59,8,eta,0.38351554233846646,0.009121772493137323,0.01
59,9,eta,0.4067796610169492,0.013958354918567523,0.025
59,10,eta,0.42878341154825483,0.019691235725110584,0.025
59,11,eta,0.4497118359803932,0.026172259853777677,0.025
59,12,eta,0.4697086935780006,0.03325598814407578,0.025
59,13,eta,0.48888830853749005,0.040809826955112476,0.055
59,14,eta,0.5073433744778225,0.048717967246973436,0.075
59,15,eta,0.5251502842315142,0.05688195307920969,0.045
59,16,eta,0.5423728813559322,0.06521958254783568,0.075
59,17,eta,0.559065169575276,0.07366310515952545,0.08
59,18,eta,0.5752733135076996,0.0821572319225022,0.08
59,19,eta,0.5910371448868711,0.09065721646676907,0.085
59,20,eta,0.6063913159321463,0.09912712232532174,0.07
61,1,eta,0.13114754098360656,2.4403438635798468e-14,0.0
61,2,eta,0.18547063113089773,6.979841318562145e-08,0.0
61,3,eta,0.22715420427132815,1.071113843689899e-05,0.0
61,4,eta,0.26229508196721313,0.00013756822929349835,0.0
61,5,eta,0.2932548167212839,0.0006496200634572403,0.0
61,6,eta,0.3212445564305807,0.001852630370053175,0.0
61,7,eta,0.3469837785002742,0.003951859365611633,0.005
61,8,eta,0.37094126226179547,0.007021041256065324,0.01
61,9,eta,0.39344262295081966,0.011032533302985802,0.015
61,10,eta,0.414724939038476,0.015898525967980477,0.02
61,11,eta,0.4349671856203803,0.021503576384519937,0.02
61,12,eta,0.4543084085426563,0.027725555133827753,0.01
61,13,eta,0.4728591836674084,0.034447466011767854,0.055
61,14,eta,0.4907091654785497,0.04156323867157704,0.065
61,15,eta,0.5079322421255629,0.0489799069301755,0.045
61,16,eta,0.5245901639344263,0.05661777794384874,0.07
61,17,eta,0.5407351640154309,0.06440957882272297,0.08
61,18,eta,0.556411893392693,0.07229915572465011,0.09
61,19,eta,0.5716588778413999,0.08024004486263794,0.07
61,20,eta,0.5865096334425678,0.08819408259015821,0.085
67,1,eta,0.11940298507462686,5.522387181450482e-17,0.0
67,2,eta,0.16886132088036956,3.180123051662579e-09,0.0
67,3,eta,0.20681203672464205,1.329392979098482e-06,0.0
67,4,eta,0.23880597014925373,2.8204402100333556e-05,0.0
67,5,eta,0.2669931913432585,0.0001800966338190294,0.0
67,6,eta,0.2924763871979914,0.0006283338118076155,0.0
67,7,eta,0.3159106043062198,0.00154841961722796,0.01
67,8,eta,0.33772264176073913,0.003066323352045426,0.01
67,9,eta,0.3582089552238806,0.005243734456691557,0.0
67,10,eta,0.37758539225891097,0.008087196768508971,0.005
67,11,eta,0.3960149003409433,0.011564644335493111,0.005
67,12,eta,0.4136240734492841,0.015620911591805203,0.01
67,13,eta,0.4305135851300286,0.020189519015744173,0.025
67,14,eta,0.44676506110733627,0.025200657400600228,0.04
67,15,eta,0.4624457726814826,0.03058614836746068,0.035
67,16,eta,0.47761194029850745,0.036282256327012534,0.025
67,17,eta,0.4923111194767356,0.04223107434482629,0.05
67,18,eta,0.5065839626411086,0.0483810117203475,0.04
67,19,eta,0.5204655454973939,0.05468674448335878,0.035
67,20,eta,0.533986382686517,0.06110886572606208,0.06
71,1,eta,0.11267605633802817,6.9933413964278e-19,0.0
71,2,eta,0.15934800702795437,3.4834969923326437e-10,0.0
71,3,eta,0.195160654373958,2.9914695196150355e-07,0.0
71,4,eta,0.22535211267605634,9.100972197057843e-06,0.0
71,5,eta,0.251951321408427,7.216862521788348e-05,0.0
71,6,eta,0.27599884425725946,0.00029097662598144265,0.0
71,7,eta,0.2981128237819257,0.0007952732159263414,0.0
71,8,eta,0.31869601405590875,0.0017022891285944993,0.005
71,9,eta,0.3380281690140845,0.003093074533440309,0.0
71,10,eta,0.3563129757936202,0.005007958229925012,0.005
71,11,eta,0.37370420173018587,0.007452594740408961,0.005
71,12,eta,0.390321308747916,0.01040737698272752,0.005
71,13,eta,0.40625929864382976,0.01383642939061294,0.025
71,14,eta,0.42159519850973987,0.01769479526402756,0.02
71,15,eta,0.4363924897135118,0.02193363686647282,0.03
71,16,eta,0.4507042253521127,0.02650373734132581,0.055
71,17,eta,0.4645752817597364,0.03135770637018368,0.025
71,18,eta,0.47804402108386307,0.036451259428500596,0.055
71,19,eta,0.49114354293416046,0.04174386503434329,0.025
71,20,eta,0.503902642816854,0.047198977661175416,0.07
