error_rate,error_count,trials,rho,rho_t,theory_fail,n,q,k,m,t
0.374,187,500,0.7213114754098361,0.7213114754098361,0.39589749788109485,8,61,11,16,1
0.456,228,500,0.7868852459016393,0.7868852459016393,0.43643738090642825,8,61,12,16,1
0.426,213,500,0.8524590163934426,0.8524590163934426,0.47253536049574507,8,61,13,16,1
0.478,239,500,0.9180327868852459,0.9180327868852459,0.504741124955032,8,61,14,16,1
0.466,233,500,0.9836065573770492,0.9836065573770492,0.5335614493928718,8,61,15,16,1
0.52,260,500,1.0491803278688525,1.0491803278688525,0.5594440519874377,8,61,16,16,1
0.492,246,500,1.1147540983606556,1.1147540983606556,0.582776192062933,8,61,17,16,1
0.508,254,500,1.180327868852459,1.180327868852459,0.6038893830033134,8,61,18,16,1
0.476,238,500,1.2459016393442623,1.2459016393442623,0.6230661664743882,8,61,19,16,1
0.468,234,500,1.3114754098360655,1.3114754098360655,0.6405471115860013,8,61,20,16,1
0.0,0,500,0.05970149253731343,0.05970149253731343,1.0980212586566618e-24,8,67,1,16,1
0.0,0,500,0.11940298507462686,0.11940298507462686,2.9187514326484534e-07,8,67,2,16,1
0.0,0,500,0.1791044776119403,0.1791044776119403,0.0006283338118076138,8,67,3,16,1
0.02,10,500,0.23880597014925373,0.23880597014925373,0.010338129039272144,8,67,4,16,1
0.054,27,500,0.29850746268656714,0.29850746268656714,0.04022337180846005,8,67,5,16,1
0.126,63,500,0.3582089552238806,0.3582089552238806,0.08735102141098036,8,67,6,16,1
0.176,88,500,0.417910447761194,0.417910447761194,0.142833698705283,8,67,7,16,1
0.226,113,500,0.47761194029850745,0.47761194029850745,0.19978835302927211,8,67,8,16,1
0.262,131,500,0.5373134328358209,0.5373134328358209,0.25441416438885045,8,67,9,16,1
0.322,161,500,0.5970149253731343,0.5970149253731343,0.3050217785921838,8,67,10,16,1
0.378,189,500,0.6567164179104478,0.6567164179104478,0.35109047627785084,8,67,11,16,1
0.412,206,500,0.7164179104477612,0.7164179104477612,0.39267856795667877,8,67,12,16,1
0.406,203,500,0.7761194029850746,0.7761194029850746,0.4301012929413973,8,67,13,16,1
0.464,232,500,0.835820895522388,0.835820895522388,0.46376590046765687,8,67,14,16,1
0.452,226,500,0.8955223880597015,0.8955223880597015,0.49409143356382357,8,67,15,16,1
0.474,237,500,0.9552238805970149,0.9552238805970149,0.5214724009353149,8,67,16,16,1
0.466,233,500,1.0149253731343284,1.0149253731343284,0.5462645977987731,8,67,17,16,1
0.488,244,500,1.0746268656716418,1.0746268656716418,0.5687817649011857,8,67,18,16,1
0.494,247,500,1.1343283582089552,1.1343283582089552,0.5892972768490153,8,67,19,16,1
0.508,254,500,1.1940298507462686,1.1940298507462686,0.6080479159610312,8,67,20,16,1
0.496,248,500,1.2537313432835822,1.2537313432835822,0.6252382723970816,8,67,21,16,1
0.0,0,500,0.056338028169014086,0.056338028169014086,1.608858026811542e-27,8,71,1,16,1
0.0,0,500,0.11267605633802817,0.11267605633802817,5.485627712765424e-08,8,71,2,16,1
0.0,0,500,0.16901408450704225,0.16901408450704225,0.0002909766259814432,8,71,3,16,1
0.018,9,500,0.22535211267605634,0.22535211267605634,0.006579650152762502,8,71,4,16,1
0.048,24,500,0.28169014084507044,0.28169014084507044,0.029710982508339277,8,71,5,16,1
0.104,52,500,0.3380281690140845,0.3380281690140845,0.0700477483351481,8,71,6,16,1
0.154,77,500,0.39436619718309857,0.39436619718309857,0.12047055627635779,8,71,7,16,1
0.21,105,500,0.4507042253521127,0.4507042253521127,0.17424124678038666,8,71,8,16,1
0.26,130,500,0.5070422535211268,0.5070422535211268,0.22714939311794557,8,71,9,16,1
0.31,155,500,0.5633802816901409,0.5633802816901409,0.2770540133885244,8,71,10,16,1
0.306,153,500,0.6197183098591549,0.6197183098591549,0.323080939356715,8,71,11,16,1
0.402,201,500,0.676056338028169,0.676056338028169,0.3650412475079965,8,71,12,16,1
0.412,206,500,0.7323943661971831,0.7323943661971831,0.40308520276447735,8,71,13,16,1
0.426,213,500,0.7887323943661971,0.7887323943661971,0.43751239211173265,8,71,14,16,1
0.444,222,500,0.8450704225352113,0.8450704225352113,0.4686724737694531,8,71,15,16,1
